Rk,Player,GmSc,Date,Age,Team, ,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.
,LaMelo Ball,28.1,2025-01-07,23-138,CHO,,PHO,"W, 115-104",*,35,12,28,.429,7,12,.583,5,16,.313,3,5,.600,.530,5,5,10,7,4,0,1,3,32,28.1,17.1,0,G
,Gordon Hayward,28.1,2023-02-13,32-327,CHO,,ATL,"W, 144-138",*,34,9,12,.750,5,7,.714,4,5,.800,4,4,1.000,.945,0,5,5,8,2,0,1,3,26,28.1,12.4,3,F-G
,Anthony Mason,28.1,1998-04-12,31-119,CHH,,DET,"W, 88-86",*,41,11,17,.647,11,17,.647,0,0,,7,8,.875,.707,3,11,14,4,1,0,1,3,29,28.1,18.1,8,F
,Glen Rice,28.1,1998-01-27,30-244,CHH,,PHO,"W, 120-113 (2OT)",*,49,15,29,.517,12,23,.522,3,6,.500,9,12,.750,.613,3,3,6,2,1,0,3,2,42,28.1,8.7,13,F
,Terry Rozier,28.1,2022-02-12,27-332,CHO,,MEM,"L, 118-125",*,41,11,27,.407,5,10,.500,6,17,.353,7,9,.778,.565,4,6,10,9,0,1,2,3,35,28.1,9.6,-12,G
,Terry Rozier,28.1,2021-01-02,26-291,CHO,@,PHI,"L, 112-127",*,34,12,18,.667,5,7,.714,7,11,.636,4,4,1.000,.886,0,2,2,3,1,0,2,2,35,28.1,13.2,-19,G
,Kemba Walker,28.1,2017-04-04,26-331,CHO,@,WAS,"L, 111-118",*,37,13,25,.520,7,11,.636,6,14,.429,5,6,.833,.669,0,5,5,4,2,1,2,3,37,28.1,12.3,4,G
,LaMelo Ball,28.0,2023-11-18,22-088,CHO,,NYK,"L, 108-122",*,36,12,22,.545,4,9,.444,8,13,.615,2,2,1.000,.743,0,5,5,9,1,0,3,3,34,28.0,12.4,-16,G
,Hersey Hawkins,28.0,1994-02-07,27-131,CHH,@,PHI,"L, 117-125",*,40,8,13,.615,7,12,.583,1,1,1.000,14,14,1.000,.809,2,3,5,2,2,0,2,2,31,28.0,7.9,,G
,Larry Johnson,28.0,1993-04-23,24-040,CHH,,CHI,"W, 104-103",*,41,13,16,.813,13,16,.813,0,0,,5,5,1.000,.852,4,10,14,2,0,0,3,3,31,28.0,10.4,,F
,Brad Miller,28.0,1999-03-24,22-346,CHH,,CHI,"W, 110-81",,18,9,9,1.000,9,9,1.000,0,0,,7,7,1.000,1.035,2,3,5,0,2,2,0,0,25,28.0,35.9,21,C-F
,Jason Richardson,28.0,2008-04-08,27-079,CHA,,MIN,"W, 121-119",*,45,11,21,.524,6,13,.462,5,8,.625,9,12,.750,.685,1,4,5,4,0,0,0,3,36,28.0,1.0,3,G
,Kemba Walker,28.0,2016-11-07,26-183,CHO,,IND,"W, 122-100",*,25,7,11,.636,2,5,.400,5,6,.833,5,6,.833,.880,0,2,2,10,2,1,1,0,24,28.0,28.0,21,G
,Gerald Wallace,28.0,2008-12-27,26-157,CHA,,NJN,"L, 103-114 (OT)",*,46,11,17,.647,10,14,.714,1,3,.333,9,11,.818,.733,2,7,9,4,2,2,3,6,32,28.0,11.6,-6,F
,D.J. Augustin,27.9,2011-01-20,23-071,CHA,,PHI,"W, 100-97",*,37,11,17,.647,8,12,.667,3,5,.600,6,6,1.000,.789,0,4,4,8,1,0,3,1,31,27.9,15.4,15,G
,LaMelo Ball,27.9,2023-11-20,22-090,CHO,,BOS,"W, 121-118 (OT)",*,41,15,27,.556,10,16,.625,5,11,.455,1,1,1.000,.656,2,7,9,8,2,1,5,5,36,27.9,10.3,3,G
,Miles Bridges,27.9,2025-12-12,27-266,CHO,,CHI,"L, 126-129",*,34,13,20,.650,9,13,.692,4,7,.571,2,3,.667,.750,0,2,2,7,0,0,0,1,32,27.9,11.7,8,G-F
,Jeremy Lamb,27.9,2019-02-09,26-255,CHO,@,ATL,"W, 129-120",*,36,8,14,.571,4,7,.571,4,7,.571,4,4,1.000,.761,2,4,6,7,3,2,1,1,24,27.9,13.0,15,G-F
,Jamal Mashburn,27.9,2001-05-10,28-162,CHH,,MIL,"W, 102-92",*,43,15,23,.652,12,18,.667,3,5,.600,3,4,.750,.727,1,4,5,6,0,1,4,1,36,27.9,14.8,11,F
,Anthony Mason,27.9,1998-01-24,31-041,CHH,@,DAL,"W, 94-92",*,44,12,19,.632,12,19,.632,0,0,,5,6,.833,.670,4,12,16,3,0,1,1,1,29,27.9,12.7,3,F
,Malik Monk,27.9,2021-02-01,22-363,CHO,@,MIA,"W, 129-121 (OT)",,40,11,18,.611,2,5,.400,9,13,.692,5,5,1.000,.891,1,4,5,2,0,0,2,3,36,27.9,12.3,20,G
,Gerald Wallace,27.9,2005-11-02,23-102,CHA,@,CHI,"L, 105-109 (OT)",*,43,11,16,.688,10,14,.714,1,2,.500,5,10,.500,.686,3,2,5,4,5,0,1,2,28,27.9,15.3,-1,F
